n_routines;Go: 1. Sleep;Go: 2. Files R;Go: 3. Files RW;Go: 4. SQLite;Go: 5. MySQL;Rust: 1. Sleep;Rust: 2. Files R;Rust: 3. Files RW;Rust: 4. SQLite;Rust: 5. MySQL
10;5.3984375;3.56640625;3.6640625;9.0;3.83203125;3.5859375;3.82421875;3.82421875;3.546875;3.53515625
100;6.4375;3.5234375;3.55078125;27.80078125;3.5390625;3.65625;3.89453125;3.56640625;8.17578125;16.69921875
1000;14.3671875;3.53515625;24.27734375;176.11328125;24.7265625;5.140625;3.57421875;14.82421875;15.08984375;33.2890625
10000;80.2734375;79.34375;158.55859375;-1;143.27734375;17.484375;48.39453125;78.1796875;-1;163.05078125
100000;323.2421875;483.78125;4102.8828125;-1;1321.02734375;142.2265625;277.4140625;2741.63671875;-1;1439.0078125
1000000;816.2265625;3373.14453125;-1;-1;-1;1389.3671875;2193.5234375;-1;-1;-1
